,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
RP4-669L17.10,ENSG00000237094,71,False,71,0.014975041,98.52329450915141,72.0,True,0.22314439345310078,3.1423624206535763,1.0585449
RP11-206L10.3,ENSG00000235373,94,False,94,0.019758735,98.04492512479202,95.0,True,0.278920610531324,3.1083682420903833,0.96377283
RP11-206L10.2,ENSG00000228327,13,False,13,0.0027038269,99.7296173044925,13.0,True,0.05817646950587744,3.20939060736589,1.2454121
RP11-206L10.9,ENSG00000237491,126,False,126,0.026414309,97.3793677204659,127.0,True,0.3294909067068925,3.01454315570943,0.7021988
FAM87B,ENSG00000177757,59,False,59,0.012687188,98.77287853577371,61.0,True,0.17970491411078757,3.0342790176648182,0.7572202
LINC00115,ENSG00000225880,70,False,70,0.015183028,98.5440931780366,73.0,True,0.24366350302027526,3.169880032232749,1.1352609
RP11-54O7.1,ENSG00000230699,131,False,131,0.028286189,97.27537437603993,136.0,True,0.2871658051429588,2.9939058043479734,0.64466417
RP11-54O7.3,ENSG00000223764,136,False,136,0.030782029,97.17138103161398,148.0,True,0.35661214576685457,3.045030823895318,0.7871951
NOC2L,ENSG00000188976,1842,False,1842,0.5328619,61.688851913477535,2562.0,True,2.1022731112107143,3.183392926765275,1.1753509
PLEKHN1,ENSG00000187583,370,False,370,0.08610649,92.3044925124792,414.0,True,0.8802495809020806,3.150542586314923,1.5743535
C1orf170,ENSG00000187642,10,False,10,0.0020798668,99.79201331114808,10.0,True,0.03657898575848171,2.959876730240344,0.5497948
AGRN,ENSG00000188157,1183,False,1183,0.32237938,75.39517470881863,1550.0,True,1.6747770643643882,3.14256813759753,1.2597907
FAM132A,ENSG00000184163,50,False,50,0.0108153075,98.96006655574044,52.0,True,0.10535267704248893,2.9783538611375584,0.60130703
ACAP3,ENSG00000131584,644,False,644,0.15411814,86.60565723793677,741.0,True,1.0303622448950551,2.923316457770612,0.52040327
MXRA8,ENSG00000162576,2513,False,2513,1.2462562,47.732945091514146,5992.0,True,2.7401479475082566,3.4950841241307113,1.0504545
CCNL2,ENSG00000221978,1698,False,1698,0.45382696,64.6838602329451,2182.0,True,1.9258227817333096,3.090081186403378,0.8183793
AL645728.1,ENSG00000215014,32,False,32,0.0068635605,99.33444259567388,33.0,True,0.10498275169417347,3.0868746631436284,0.9038511
RP11-345P4.7,ENSG00000269737,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.020658282634075084,3.007257639389711,0.68188757
SLC35E2,ENSG00000215790,92,False,92,0.019550748,98.0865224625624,94.0,True,0.23214452852951772,2.9819741646049334,0.61140007
TMEM52,ENSG00000178821,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.030454454945655875,3.2355706656391425,1.3183993
AL590822.2,ENSG00000269554,51,False,51,0.0108153075,98.93926788685525,52.0,True,0.15007755035545817,3.0428706526162457,0.78117275
MMEL1,ENSG00000142606,6,False,6,0.0012479201,99.87520798668885,6.0,True,0.025090493043116866,2.992439538645483,0.64057636
TTC34,ENSG00000215912,65,False,65,0.013727121,98.64808652246256,66.0,True,0.1674869805032712,2.9991935088882133,0.6594057
MEGF6,ENSG00000162591,664,False,664,0.1703411,86.18968386023295,819.0,True,1.1572335875272348,3.113598563065541,1.3191762
LINC01134,ENSG00000236423,35,False,35,0.007279534,99.2720465890183,35.0,True,0.09141984850739908,3.0241023086257353,0.7288487
RNF207,ENSG00000158286,1243,False,1243,0.34588185,74.14725457570715,1663.0,True,1.932798350348444,3.6000814665902694,2.769427
LINC00337,ENSG00000225077,9,False,9,0.0020798668,99.81281198003327,10.0,True,0.03251156826718682,3.1161103528488776,0.985357
HES2,ENSG00000069812,8,False,8,0.0016638935,99.83361064891847,8.0,True,0.03334674357471301,3.137910952641028,1.0461347
TNFRSF25,ENSG00000215788,117,False,117,0.024958402,97.56655574043262,120.0,True,0.3052039475041218,2.963509208463088,0.5599218
TNFRSF9,ENSG00000049249,13,False,13,0.0027038269,99.7296173044925,13.0,True,0.034243685121412515,3.23780250996662,1.3246214
ERRFI1,ENSG00000116285,959,False,959,0.34796172,80.0540765391015,1673.0,True,1.560644568881012,3.0659403540472843,0.9491111
RP11-431K24.1,ENSG00000238290,37,False,37,0.0076955073,99.23044925124792,37.0,True,0.09898587180886691,3.0220941202695912,0.7232501
ENO1-AS1,ENSG00000230679,26,False,26,0.0054076537,99.45923460898503,26.0,True,0.0773534612911584,2.9674244733423523,0.5708371
SLC2A5,ENSG00000142583,1004,False,1004,0.34504992,79.11813643926789,1659.0,True,1.725624927862743,3.394260407360592,2.2802513
GPR157,ENSG00000180758,282,False,282,0.064891845,94.13477537437605,312.0,True,0.6187575298082446,2.965789806456897,0.7458806
RP3-510D11.1,ENSG00000228526,28,False,28,0.005823627,99.41763727121464,28.0,True,0.10770081464914777,3.1343356900587813,1.0361673
H6PD,ENSG00000049239,1294,False,1294,0.34484193,73.0865224625624,1658.0,True,1.6901567342105768,3.0352888441652457,0.8248376
RP4-635E18.8,ENSG00000271895,149,False,149,0.032445922,96.9009983361065,156.0,True,0.4001203501036451,3.0473747970864453,0.79372984
RP4-635E18.7,ENSG00000226849,10,False,10,0.0020798668,99.79201331114808,10.0,True,0.05096795708048029,3.2417753662405544,1.3356973
FBXO44,ENSG00000132879,213,False,213,0.04575707,95.56988352745425,220.0,True,0.49387041802451287,2.9300619257182845,0.58566874
MTHFR,ENSG00000177000,494,False,494,0.11751248,89.72545757071548,565.0,True,0.8893526967432095,2.92902964280258,0.5810398
NPPA-AS1,ENSG00000242349,44,False,44,0.009567387,99.08485856905158,46.0,True,0.1343960983796626,3.1813350012061616,1.1671962
NPPB,ENSG00000120937,5,False,5,0.0012479201,99.89600665557404,6.0,True,0.03490756785383267,3.5140896316173054,2.0948796
DHRS3,ENSG00000162496,2015,False,2015,0.6703411,58.090682196339436,3223.0,True,2.1926197957612277,3.043818905114282,0.64139915
PDPN,ENSG00000162493,251,False,251,0.06925957,94.77953410981698,333.0,True,0.6939947293754383,3.131657160716971,1.489667
KAZN,ENSG00000189337,411,False,411,0.093802,91.45174708818635,451.0,True,0.8110296722369981,3.032394289337572,1.0445501
RP3-467K16.4,ENSG00000228140,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.01936081481413636,3.23659321300666,1.32125
DNAJC16,ENSG00000116138,877,False,877,0.21297836,81.7595673876872,1024.0,True,1.325887027932052,2.9640634689928875,0.6914525
SLC25A34,ENSG00000162461,37,False,37,0.0076955073,99.23044925124792,37.0,True,0.10829593648382904,3.0495475376313195,0.79978716
RP11-169K16.9,ENSG00000179743,291,False,291,0.063851915,93.94758735440931,307.0,True,0.6805997344461769,3.0316887905037646,1.0413864
EPHA2,ENSG00000142627,835,False,835,0.20902662,82.63311148086522,1005.0,True,1.2682745830367228,2.9554632027394585,0.65535
RP4-798A10.2,ENSG00000226029,130,False,130,0.027870215,97.29617304492513,134.0,True,0.35067054352201876,2.9775332796432825,0.59901935
RP4-798A10.7,ENSG00000261135,16,False,16,0.003327787,99.66722129783693,16.0,True,0.03613730218889771,3.2073354037586723,1.2396824
MFAP2,ENSG00000117122,1643,False,1643,0.5607321,65.82778702163061,2696.0,True,2.0434904686399245,3.3297836953394593,1.7353808
RP11-380J14.1,ENSG00000204362,86,False,86,0.018094841,98.21131447587355,87.0,True,0.23926726685223776,2.999504464216749,0.6602726
PADI1,ENSG00000142623,14,False,14,0.0031198002,99.70881863560732,15.0,True,0.03526665289524739,3.1450502127584157,1.0660381
EMC1,ENSG00000127463,1301,False,1301,0.33361065,72.94093178036606,1604.0,True,1.6356800277234174,2.9553604461888154,0.50077605
PQLC2,ENSG00000040487,358,False,358,0.07882696,92.55407653910149,379.0,True,0.6915262021666119,2.9330260282507536,0.59896046
FAM43B,ENSG00000183114,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.02171081478261767,2.9753213064273867,0.5928526
PINK1-AS,ENSG00000117242,40,False,40,0.008319467,99.16805324459234,40.0,True,0.11387921201307247,3.009578209921042,0.6883571
DDOST,ENSG00000244038,1911,False,1911,0.5503328,60.25374376039934,2646.0,True,2.024443388250188,3.016917999973921,0.5384875
ECE1,ENSG00000117298,1634,False,1634,0.48044926,66.01497504159735,2310.0,True,1.9586854464339636,3.0997335112954936,0.855305
EPHB2,ENSG00000133216,877,False,877,0.22545756,81.7595673876872,1084.0,True,1.329005517899469,2.968585647903079,0.71043587
RP5-1057J7.6,ENSG00000261326,371,False,371,0.08340266,92.28369384359401,401.0,True,0.7995702089005308,3.2456498344157443,2.0008357
FUCA1,ENSG00000179163,358,False,358,0.08028286,92.55407653910149,386.0,True,0.7275880258900003,2.9935083210877345,0.8701766
SRSF10,ENSG00000188529,589,False,589,0.13560732,87.7495840266223,652.0,True,1.0816206311906766,3.0397459116724277,1.0091549
NIPAL3,ENSG00000001461,1048,False,1048,0.2689268,78.20299500831946,1293.0,True,1.4827816489727348,2.95780943847353,0.5107053
MAN1C1,ENSG00000117643,29,False,29,0.006655574,99.39683860232945,32.0,True,0.08788411786420039,3.051975464248161,0.806556
RP1-187B23.1,ENSG00000233478,9,False,9,0.0020798668,99.81281198003327,10.0,True,0.05480963635395421,3.3865046019763128,1.7391865
AL020996.1,ENSG00000223474,31,False,31,0.006447587,99.35524126455907,31.0,True,0.10361070085640825,3.055876986151581,0.817433
PAQR7,ENSG00000182749,359,False,359,0.08340266,92.5332778702163,401.0,True,0.7314705162587289,2.945133618567705,0.6532536
STMN1,ENSG00000117632,1239,False,1239,0.6501664,74.23044925124792,3126.0,True,2.0728912876322148,3.7322655741276405,3.275108
DHDDS,ENSG00000117682,845,False,845,0.202995,82.42512479201332,976.0,True,1.3194551939461967,2.962126183838934,0.6833201
HMGN2,ENSG00000198830,2214,False,2214,1.3223794,53.95174708818635,6358.0,True,2.7520116357148368,3.637144425312613,1.460891
RP5-1092A3.4,ENSG00000270605,47,False,47,0.009983361,99.022462562396,48.0,True,0.14127748007912927,3.077745578671158,0.8784002
SESN2,ENSG00000130766,656,False,656,0.16534942,86.35607321131448,795.0,True,1.1077564619492923,2.9761808182205214,0.74231917
PHACTR4,ENSG00000204138,1818,False,1818,0.5601081,62.18801996672213,2693.0,True,2.0918864555714225,3.028582061251974,0.5831093
TRNAU1AP,ENSG00000180098,1104,False,1104,0.27703828,77.03826955074875,1332.0,True,1.593291771637203,3.087682663778435,1.037263
SNHG12,ENSG00000197989,837,False,837,0.20673877,82.59151414309484,994.0,True,1.3433496670753844,3.149809167516827,1.4711823
RP11-442N24__B.1,ENSG00000229388,22,False,22,0.004575707,99.5424292845258,22.0,True,0.06054328984710552,2.98808850400931,0.62844616
RNU11,ENSG00000270103,88,False,88,0.018302828,98.16971713810317,88.0,True,0.2568467403278349,3.060871386516178,0.8313568
MATN1-AS1,ENSG00000186056,32,False,32,0.0068635605,99.33444259567388,33.0,True,0.10742430307089959,3.1259368921388875,1.0127523
LAPTM5,ENSG00000162511,127,False,127,0.028910149,97.3585690515807,139.0,True,0.31216768909340314,3.029442625597933,0.7437369
FABP3,ENSG00000121769,11,False,11,0.0024958402,99.77121464226289,12.0,True,0.03779106536368819,3.0110996810968524,0.69259876
SERINC2,ENSG00000168528,1022,False,1022,0.33922628,78.74376039933443,1631.0,True,1.5532984001886627,3.0014460792287454,0.6876256
COL16A1,ENSG00000084636,1412,False,1412,0.38477537,70.63227953410983,1850.0,True,1.703288177990796,3.048876873920123,0.87992895
BAI2,ENSG00000121753,102,False,102,0.022254575,97.87853577371048,107.0,True,0.2362282297902949,3.0154993816304696,0.7048647
SPOCD1,ENSG00000134668,2885,False,2885,1.1992513,39.995840266222956,5766.0,True,2.860159492764709,3.5349358030107703,1.1655928
RP11-84A19.4,ENSG00000269967,30,False,30,0.0062396005,99.37603993344426,30.0,True,0.09443038855442039,3.016046796759871,0.7063908
RP11-277A4.4,ENSG00000203325,11,False,11,0.0022878535,99.77121464226289,11.0,True,0.04635598842200693,2.9657413498158864,0.56614476
RP4-622L5.7,ENSG00000224066,48,False,48,0.010191347,99.00166389351082,49.0,True,0.11112735740091859,3.0550540816706717,0.8151388
DCDC2B,ENSG00000222046,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.029944085065585532,3.1100496371856665,0.9684604
BSDC1,ENSG00000160058,1475,False,1475,0.3970466,69.32196339434276,1909.0,True,1.8612643166419294,3.0940251767631364,0.8334673
ZBTB8B,ENSG00000273274,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.024765097806698066,3.031233481219589,0.7487296
ZBTB8A,ENSG00000160062,454,False,454,0.10253744,90.55740432612312,493.0,True,0.920107208155305,2.966869501976777,0.70323175
S100PBP,ENSG00000116497,907,False,907,0.21900998,81.13560732113146,1053.0,True,1.3686112944667082,3.0002459709354614,0.6827599
HPCA,ENSG00000121905,16,False,16,0.003327787,99.66722129783693,16.0,True,0.05999191536200967,2.961638206472021,0.5547056
ZSCAN20,ENSG00000121903,100,False,100,0.021006655,97.92013311148087,101.0,True,0.2459067057575843,2.9525297798644115,0.5293123
CSMD2,ENSG00000121904,42,False,42,0.009151414,99.12645590682196,44.0,True,0.11316613877327901,2.946887742103945,0.51358294
CLSPN,ENSG00000092853,509,False,509,0.2015391,89.4134775374376,969.0,True,1.1683557453931057,3.1990827704922724,1.6780248
AGO4,ENSG00000134698,279,False,279,0.060940098,94.19717138103162,293.0,True,0.6477279001464099,2.989350058229447,0.85153
